time,lat,lon,elevation,accuracy,speed
2014-11-06T08:15:12Z,50.066046,19.924194,250.710482,8.000000,0.000000
2014-11-06T08:15:16Z,50.066046,19.924194,250.693634,8.000000,0.000000
2014-11-06T08:15:19Z,50.066046,19.924194,250.678063,8.000000,0.000000
2014-11-06T08:15:22Z,50.066046,19.924194,250.653317,8.000000,0.000000
2014-11-06T08:15:25Z,50.066046,19.924194,250.583145,8.000000,0.000000
2014-11-06T08:15:28Z,50.066046,19.924194,250.494586,6.000000,0.000000
2014-11-06T08:15:29Z,50.066046,19.924194,250.466837,6.000000,0.000000
2014-11-06T08:15:31Z,50.066051,19.924179,249.974937,6.000000,0.955694
2014-11-06T08:15:34Z,50.066082,19.924074,249.537712,6.000000,3.261127
2014-11-06T08:15:40Z,50.066201,19.923549,249.602430,12.000000,5.600496
2014-11-06T08:15:43Z,50.066272,19.923300,250.622819,8.000000,5.323827
2014-11-06T08:15:50Z,50.066404,19.922806,251.417139,16.000000,3.936128
2014-11-06T08:15:53Z,50.066406,19.922767,251.482528,12.000000,0.000000
2014-11-06T08:15:56Z,50.066406,19.922767,251.481149,24.000000,0.000000
2014-11-06T08:15:59Z,50.066406,19.922767,251.481723,8.000000,0.000000
2014-11-06T08:16:02Z,50.066406,19.922767,251.489034,8.000000,0.000000
2014-11-06T08:16:05Z,50.066406,19.922766,251.507509,16.000000,0.000000
2014-11-06T08:16:08Z,50.066406,19.922766,251.532860,8.000000,0.000000
2014-11-06T08:16:11Z,50.066405,19.922766,251.549120,6.000000,0.000000
2014-11-06T08:16:17Z,50.066426,19.922622,251.337946,8.000000,4.291224
2014-11-06T08:16:19Z,50.066464,19.922478,251.210829,8.000000,5.815685
2014-11-06T08:16:20Z,50.066479,19.922391,251.061600,12.000000,6.186357
2014-11-06T08:16:22Z,50.066509,19.922215,249.793996,12.000000,6.575117
2014-11-06T08:16:26Z,50.066592,19.921897,248.113920,12.000000,5.320609
2014-11-06T08:16:29Z,50.066647,19.921714,248.050669,8.000000,4.007938
2014-11-06T08:16:32Z,50.066714,19.921517,250.089553,12.000000,4.760570
